uuid,walk_group
75339d40-619e-5667-9957-aa6d6a38c57b,LOCAL
49ee84fe-06b8-53e3-b5ec-d81e4bed2a14,LOCAL
44443207-09fd-546a-93f4-2a0b32678fc5,LOCAL
30234905-339b-516f-8afb-97ebf56de46a,LOCAL
b3e6ce22-3d24-5c4d-a6fb-389c2d5c3687,LOCAL
550eec49-ee06-529f-8032-29d18100f860,COVID
6d981655-8857-5062-9e3b-ac7ba6932952,COVID
762f5682-7d0b-5f33-bd62-99e419186724,COVID
ab9ad885-9c44-58b8-af56-c8c5896f16b5,COVID
f7839a99-e061-59d3-b021-419b10aa27cf,COVID
4be9c6f4-20d7-5573-9279-4475bc3ec353,COVID
ef97d945-fc9e-5f3f-acd6-489149c3250e,COVID
5582b468-c5b5-5773-8dae-b4c19d5705e5,COVID
4ed08978-4c3f-5aa9-a408-8912970899cb,COVID
53e50017-f6d6-5e06-b20e-e560d7b2f57a,COVID
0991d88f-0c01-5012-b286-67d81b58b83b,COVID
6692a242-4659-5e13-9ee2-3e14afb372f8,COVID
6ec66955-359e-5a78-b75e-379b92540043,COVID
e8a34c03-9f71-5b2c-a106-580781e22641,COVID
e533e7a6-3f74-5aac-aafa-5f4a348c2902,COVID
a0c2c975-ad60-5cc7-96fd-cc7c655c8c3c,COVID
c297f820-db75-59f1-b4ff-5e5f5ac5a8a7,COVID
a7b61edb-5e74-5e80-977c-add69f23b62a,COVID
c5a52433-801a-5546-b80c-9397eb01d403,COVID
3dbf33dd-11fc-59dd-9227-d14934c7dc5d,COVID
6309efea-0d77-5df4-9c97-55c9b680243c,NOT
0691b572-9fd3-501c-b121-aa70a74f1dc6,LOCAL
7cbbb26c-5546-57e4-8186-2690f318b6f7,LOCAL
489c8f8b-ccaa-5b09-99cb-a3c81b7116e2,LOCAL
09148b33-7283-55a8-9023-dde36d7f5d00,LOCAL
39102709-97f5-5ee4-9ddf-cfe7e0cb5df9,LOCAL
3b2f85ae-84bc-5898-8a22-4216719f0069,LOCAL
bd9db4f8-7820-5104-adc2-f5c3b3846203,LOCAL
4c0dddb7-3bc4-51f9-b78b-5709dcce3446,LOCAL
e0eb6883-0bc6-52bd-8c83-e099d6e0b18b,LOCAL
6ce7c835-2bc6-57a1-8413-7d54dea83404,LOCAL
f932de7b-b2ca-5957-a1f7-2036e2031f25,LOCAL
19cd7c2d-84da-5df8-a572-23437eae3884,LOCAL
d0184dbb-d729-51de-b35c-3b0b85210498,COVID
98868d26-47e9-5896-9cfa-316e3567bd72,COVID
14b63e58-2d6f-554f-91c1-d0b2401a4e55,COVID
919b6825-2324-5b50-9902-43cb54a81458,COVID
bd091a48-a859-5743-ba10-8cb6a6deadd4,COVID
4ad93a24-670c-5d46-b968-0440f2faf18c,COVID
db75354e-3e67-56ed-8745-ebb75d5336d1,COVID
690d0069-9179-5448-a4f0-06595c515def,COVID
972f127d-5a94-5129-8754-0ca27673e84c,COVID
1f12242f-8851-567b-aec1-fa5db17bc257,COVID
dd4f2fd1-5984-5e74-826b-9b8b3fb029ae,COVID
1c56a4ff-93a9-5b39-ba30-f0641e38cc28,COVID
628f7ded-64f6-510b-aeeb-6fe735146041,COVID
36da95bc-8283-5eae-b0a2-d2d55231910e,COVID
d73e476f-d8cb-5f9e-a9a3-18e831a059d7,COVID
3daf6cfc-af4b-5fe0-8121-860a0c022ce1,COVID
6fa0a436-0961-5e2c-a796-5c3bbdd66a60,COVID
85cfcdf4-a952-5303-99fa-d12930787025,COVID
59b39fa6-fc05-5611-a803-202ce8a8f133,COVID
30dd7c3e-692b-5996-ba39-9bfcc1167636,COVID
07bb7820-9415-5ea9-a4b2-bbcb81b2413d,COVID
63e22df7-e7e5-520d-a7b2-5fd6a5772945,COVID
d7056311-c8a9-5df6-a8bf-5296cfb041ee,COVID
227d2daa-c3ac-5526-bbab-91b2e5b2a6fd,COVID
2c7f368a-8f2e-58f5-b662-6e74a3d7ad21,COVID
8b14b103-f37c-559a-8a4c-e5e76a416443,COVID
1faf750a-29c3-5d00-bba8-899d7b46fcfd,COVID
224f756c-c314-5b37-b9aa-b190d7769cf1,COVID
721d0ff9-37a2-5213-a474-254116ceb292,COVID
51deb6cd-b104-59be-880c-6746f84f5357,COVID
ddfb0e8c-375b-56ee-83ce-3c97e029546a,GWW
55bc7b49-2255-5469-93c9-fbd3ef06de4a,LOCAL
77e15f6d-fa97-556b-be01-73b31977a05d,LOCAL
31e2afee-ecb8-5f7d-a9f3-a0f0245c3640,LOCAL
888648a3-c393-5c32-81ac-7a6a065c43c2,LOCAL
5e4c35ae-167f-589e-a046-26ad761138ab,LOCAL
dde7c812-c7e6-5bf8-9af2-a60d37b7a70e,LOCAL
9333bc62-3739-5bab-9d39-6c7a5c9fd9dc,LOCAL
35f475a3-cbfb-5f08-9afb-3309d7216d6a,GWW
da3e9029-3e73-5708-9804-985e435db241,LOCAL
e0b0334c-ed78-57ef-8f8d-120160d1f0d6,LOCAL
70cdbb75-35e3-5c8e-8dd5-9ebb4c793d2f,LOCAL
05375b7c-e2d6-5c5a-a943-9e2c0d2ff972,LOCAL
b5136ff9-fcf7-5b9c-99a3-3de21d3ca7c1,NOT
9642f5ec-4d91-5925-8bac-c5e064af23cd,LOCAL
931d3b6b-b5cc-50b0-bcf6-1b9b42eadca0,GWW
da8a8291-1f4c-54f8-88b9-3afb4981656a,GWW
37e8f7e2-ae09-5ba9-a75f-ad2079d03bdd,LOCAL
bc8aa62e-8da2-57e9-9e2b-861f190c4196,LOCAL
c87d1393-ef06-55b4-8ecb-57e97fd88e3d,NOT
fd1b722e-2974-5c94-b3c0-de08d48c4273,LOCAL
e20ea93d-0c6f-57fd-b045-12ffce6e1664,LOCAL
1f94de97-a379-593c-a6ae-659ebbc25c87,LOCAL
8b568f21-1113-5496-ae6f-f68d3bc03b98,LOCAL
4e79e81b-0717-5d80-987c-38ff712a983b,GWW
275577c5-9489-5000-864c-71bc076e0772,GWW
851bd993-201c-5896-8076-a8e6526903c3,NOT
46e33046-868e-5162-ac36-221c1480eedc,LOCAL
89a27b23-c2c0-514d-bf04-b3874c09d192,LOCAL
a906492f-1b3f-5503-9c28-551168f201a8,LOCAL
d551f1d8-ed21-5266-ac4b-26186b00ecde,LOCAL
00b6bacb-f0f2-5e5e-bc5c-2bcb40777843,LOCAL
a821f4ba-7d82-5ac7-a189-bfddbcbf3fb8,LOCAL
27786ba4-5c78-50d2-bd85-d77c864f97ff,LOCAL
6a90256f-1591-51a4-994d-74ad950381f5,NEW
e6d61100-8280-598a-b0ef-60a7a635c579,NEW
bc6d32ea-e619-5654-ba32-cd7ede3274b7,NEW
326b5e93-1b66-50cc-a535-f11d61119d1a,NEW
6642612c-7479-58d4-8adf-c1d1960d1a95,NEW
316d4e21-3fc4-5bec-9a4d-ba385b9b681c,NEW
f7f4f087-fd88-5f4f-988b-c1adc048ced6,LOCAL
dfc73054-7527-519c-87b0-b2a3264cd086,LOCAL
33de8f6f-7475-5a70-b6cd-8ca2462b1af2,LOCAL
32e203bf-eddd-54b6-93f3-a243e1bfab88,LOCAL
008827cf-8785-5b46-b517-73ba492f4756,LOCAL
5f5a0124-45b8-57dc-b85b-48ff1e627ee7,LOCAL
50da51ab-a813-5a15-90d5-b31592f8ce52,LOCAL
1031b06a-cc52-52c5-a83d-df6fa1eeb74b,LOCAL
06a9530f-a87c-55d0-9575-394702db5568,LOCAL
a54c47b6-2de1-560f-9cdd-71d3d5393c39,LOCAL
df338667-1303-5039-b86b-f4f1f51caca3,D2P
02b65f42-c9e3-5e68-9590-05da23cd6dde,LOCAL
0597360b-b5fb-5483-8ec5-a87687c33d7c,LOCAL
aa2b4060-bd0b-5d73-a63c-6a7e4da11d5d,LOCAL
8ff95b38-89b5-5a14-a58b-07f0d042d7ae,CITY
7da70295-e706-54df-b7b4-534e805d1044,LOCAL
b0c82aaf-84d0-52c8-b2ec-af8d90dd0c13,LOCAL
cbbcd630-c81e-5ac1-a18d-013ad041cbde,D2P
5170e5a0-e16b-5ad4-a1a8-29a8d0e16aa9,LOCAL
f961476c-1879-5dfe-a8ea-bec9f61bd2cb,LOCAL
b8fc0465-0883-5c9a-8c10-c01a14b42b04,LOCAL
33890f93-becc-553b-921b-f59589236ea2,LOCAL
e372a025-e2c3-5e62-a573-2736b70bc92b,LOCAL
2cbef8b2-e514-50e7-92c1-43ab7dddcdfd,LOCAL
5224514e-25ee-5684-b7d6-249a62d4634d,CITY
59f57b12-d83f-5022-b041-10fb4859cbaa,LOCAL
3f4c2ef6-3e9b-55e6-b713-cf84c0681112,ACT
93761652-2d30-57db-b780-0e0e19b63012,ACT
747dacab-801a-5f8b-8898-906f73ac6f9f,ACT
e0d26521-62a0-5c10-ba8c-bea140aeff5a,ACT
a978ba5b-e5c9-57f5-b754-c2d2d8409347,LOCAL
d0358f24-e8cc-50d6-a117-0b7727160c4c,LOCAL
dbe4350e-4f79-5d10-a094-839255823549,LOCAL
7a8eb934-bbb5-5eca-adc8-23a4a40b6fe7,B2M
c314784b-53e8-5064-a3ac-236d85919235,LOCAL
c25c3044-c430-50d2-9f55-1ccc2d0b2863,B2M
c7ba2ab6-6389-5689-9faf-d71c76e0d917,LOCAL
4609443d-6345-5573-af0f-89d404f1cf8f,LOCAL
3d60bef8-2285-56d5-802d-45da537caf42,B2M
eab39c04-4c64-5bb7-8a0a-d87397b9b6c1,LOCAL
0a0f4cf5-ca6c-5bdd-8f45-ed1e51a4a224,LOCAL
7c88ca99-5085-501e-9db4-dc56a940f003,LOCAL
32400810-42b1-5cf1-baee-4eb36a8e9d7d,NOT
aeef2b05-e851-5fa1-b7a3-98b80534f75a,LOCAL
c67f353a-9b11-52a4-bc00-7fb81f599549,LOCAL
018159a1-d59b-55c7-84fd-bba8b658d996,SYD
a00a2832-9648-58a1-af5b-a45723233fa7,SYD
2b3b0484-e386-58a5-8096-42b43f79fb6f,LOCAL
f4e79fa1-eeb5-50e4-94fd-271e092d0fb6,LOCAL
1f84ba6c-9533-5e94-9be3-6ec6ae5ff101,LOCAL
8c0fd17f-b023-5004-8e27-0f73e7a922ea,LOCAL
aacce467-a832-5624-b18c-c14d0df7fa5a,LOCAL
79a6fb11-0268-5602-8380-6b3169fe029e,LOCAL
a25ccbb6-ac99-5763-96c4-7ddf5a428e42,LOCAL
1c650fe6-08a7-5958-92e7-fc5a2530d4ed,LOCAL
cd34edd2-e440-56a2-aaf6-398915fd8f40,LOCAL
bb4e49bf-1169-51bb-ade6-5fe11d9e6174,LOCAL
56cc4058-ccf0-5161-bd32-d86bc82e8836,B2M
1858f2c2-2168-5f45-8f3c-a3501f7f05a8,LOCAL
3bb9fd6d-23f9-5719-bc0c-d5e617671141,LOCAL
2232ab3c-ca13-5586-8ea5-c19fda12e25d,LOCAL
3d327bff-02a0-5ea3-9358-35d28a699013,LOCAL
54f5f477-4970-589e-b4ec-5c7db3c1cfad,SYD
6cee6631-506b-5196-bbd4-eb534d67a32c,LOCAL
4bc8a1ce-92be-598f-9399-1cda66a1a3ae,B2M
e13920f3-7c9b-5874-b862-0d293d773f6a,LOCAL
e9fab48b-47c0-5817-a8c3-49b7f5558ddf,BAY
f586499d-5561-5b33-9040-d15743a83ae9,NOT
80c788cb-b669-56c6-97fc-e75a418bfccc,LOCAL
d9629d6d-5d24-590d-b131-b32ad7a3547b,LOCAL
4ae24f73-42d3-5562-8e85-b5a713d008d7,B2M
faad4078-8ae1-5e6b-a464-e75e3b818929,LOCAL
d19b7eb1-587a-5321-831c-773c58d7b0c2,LOCAL
2d73b58f-9d1d-578a-b66d-c4f225ed1041,LOCAL
f4765649-dc64-52e7-9cd3-24857446167f,LOCAL
709e9f79-6710-5698-af8a-2c8806a179d4,B2M
a8b00403-062e-54b1-87d7-4fea13d74c64,LOCAL
dc4f3725-14b3-5b5f-8059-f5cad10a99e1,LOCAL
316b7261-3136-5da0-819e-32cbeed5e9c9,LOCAL
24198adb-b68b-5dad-90fc-84d1fddb063c,LOCAL
b070f8aa-33ed-50aa-af10-2df0341397e5,LOCAL
8d72200c-0ca9-50be-bcf8-91dbdb2c0a33,LOCAL
0c334c8f-6bd9-5f21-a26e-d0e1259361d7,LOCAL
a1ff4afc-caea-510f-b9cb-4ea361771260,LOCAL
25da7c56-057e-5d10-afcb-359d1a14682a,LOCAL
8d6f86bd-5c59-5f17-88b1-f80b2a943673,LOCAL
59f11819-cbc3-5c63-88a6-b5d99ddc711c,BAY
ad169679-9acc-59b7-a32a-89cbc3fb110f,B2W
c361d473-38ce-5e35-86a0-17198c9291a8,LOCAL
b92edc85-3113-5053-b235-9f281e0c70cb,LOCAL
0c1f7532-b142-51d0-ade0-aa16bc2a57c7,LOCAL
4325fdb3-6175-572e-bb22-7d61b8c524da,B2W
908be930-67cf-59d6-b872-a10fe04151fd,LOCAL
8bbf42b4-a767-536e-9d86-45b2178cb432,LOCAL
9f255d6a-ad50-5051-b3fd-7bd171696f6d,B2W
